name,,set,,set_code,,id,,type,,power,,toughness,,loyalty,,manacost,,converted_manacost,,artist,,flavor,,color,,generated_mana,,number,,rarity,,rating,,ruling,,variation,,ability,,pricing_low,,pricing_mid,,pricing_high,,watermark,,print_number,,is_original,,back_id,,number_int,,name_CN,,name_TW,,name_FR,,name_DE,,name_IT,,name_JP,,name_PT,,name_RU,,name_ES,,name_KO,,type_CN,,type_TW,,type_FR,,type_DE,,type_IT,,type_JP,,type_PT,,type_RU,,type_ES,,type_KO,,ability_CN,,ability_TW,,ability_FR,,ability_DE,,ability_IT,,ability_JP,,ability_PT,,ability_RU,,ability_ES,,ability_KO,,flavor_CN,,flavor_TW,,flavor_FR,,flavor_DE,,flavor_IT,,flavor_JP,,flavor_PT,,flavor_RU,,flavor_ES,,flavor_KO,,color_identity,,fully_handled,,custom_sort,,legality_Block,,legality_Standard,,legality_Modern,,legality_Legacy,,legality_Vintage,,legality_Highlander,,legality_French_Commander,,legality_Tiny_Leaders_Commander,,legality_Leviathan_Commander,,legality_Commander,,legality_Peasant,,legality_Pauper
Anaba Shaman,,Classic Sixth Edition,,6E,,16441,,Creature — Minotaur Shaman,,2,,2,,,,{3}{R},,4,,Anson Maddocks,,"#_""The shamans? Ha They are craven cows not capable of true magic.""£—Irini Sengir_#",,R,,,,165,,C,,1.72,,,,,,"{R}, {T}: Anaba Shaman deals 1 damage to target creature or player.",,,,,,,,,,,,,,,,165,,,,,,Shaâmane anabaane,,Anaba-Schamane,,Sciamano di Anaba,,,,Xamã de Anaba,,,,Chamán de Anaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancestral Memories,,Classic Sixth Edition,,6E,,14550,,Sorcery,,,,,,,,{2}{U}{U}{U},,5,,William Donohoe,,,,U,,,,57,,R,,3.44,,"£10/4/2004 : If there are less than 7 cards in the library, look at all of them. Put two into your hand, and the rest in the graveyard.£10/4/2004 : This is not considered a draw or a discard.",,,,Look at the top seven cards of your library. Put two of them into your hand and the rest into your graveyard.,,,,,,,,,,,,,,,,57,,,,,,Souvenirs ancestraux,,Wissen der Ahnen,,Memorie Ancestrali,,,,Memórias Ancestrais,,,,Recuerdos ancestrales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Animate Wall,,Classic Sixth Edition,,6E,,16428,,Enchantment — Aura,,,,,,,,{W},,1,,Richard Kane Ferguson,,"#_""When you have been bitten with fangs of granite, you start to long for the ivory sabers of tigers.""£—Norin the Wary_#",,W,,,,1,,R,,2.612,,"£9/16/2007 : This is a change from the most recent wording. As was the case in the past, Animate Wall can now enchant only a Wall.",,,,Enchant Wall£Enchanted Wall can attack as though it didn't have defender.,,,,,,,,,,,,,,,,1,,,,,,Animation de mur,,Mauerbelebung,,Animare i Muri,,,,Animar Barreira,,,,Animar muro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankh of Mishra,,Classic Sixth Edition,,6E,,14771,,Artifact,,,,,,,,{2},,2,,Ian Miller,,#_Tawnos finally cracked the puzzle: the strange structures did not house Mishra's malevolent creations but were themselves among his creations._#,,A,,,,273,,R,,3.743,,"£10/4/2004 : This triggers on any land entering the battlefield. This includes playing a land or putting a land onto the battlefield using a spell or ability.£10/4/2004 : It determines the land’s controller at the time the ability resolves. If the land leaves the battlefield before the ability resolves, the land’s last controller before it left is used.",,,,"Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.",,,,,,,,,,,,,,,,273,,,,,,Ankh de Mishra,,Mishras Ankh,,Ankh di Mishra,,,,Ankh de Mishra,,,,Ankh de Mishra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Archangel,,Classic Sixth Edition,,6E,,14493,,Creature — Angel,,5,,5,,,,{5}{W}{W},,7,,Quinton Hoover,,"#_""My mother once told me angels sing their swords' names with each strike.""£—Sisay, Captain of the Weatherlight_#",,W,,,,2,,R,,3.033,,,,,,"Flying, vigilance",,,,,,,,,,,,,,,,2,,,,,,Archange,,Erzengel,,Arcangelo,,,,Arcanjo,,,,Arcángel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardent Militia,,Classic Sixth Edition,,6E,,14489,,Creature — Human Soldier,,2,,5,,,,{4}{W},,5,,Zina Saunders,,"#_Some fight for honor and some for gold, but the militia fight for hearth and home._#",,W,,,,3,,U,,2.609,,,,,,Vigilance,,,,,,,,,,,,,,,,3,,,,,,Milice ardente,,Heißblütige Miliz,,Milizia Fervente,,,,Milícia Fervorosa,,,,Milicianos ardorosos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Armageddon,,Classic Sixth Edition,,6E,,14500,,Sorcery,,,,,,,,{3}{W},,4,,Rob Alexander,,,,W,,,,4,,R,,4.463,,,,,,Destroy all lands.,,,,,,,,,,,,,,,,4,,,,,,Armaguedon,,Götterdämmerung,,Armageddon,,,,Armagedom,,,,Armagedón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Armored Pegasus,,Classic Sixth Edition,,6E,,14469,,Creature — Pegasus,,1,,2,,,,{1}{W},,2,,Andrew Robinson,,"#_Asked how it survived a run-in with a bog imp, the pegasus just shook its mane and burped._#",,W,,,,5,,C,,2.661,,,,,,Flying,,,,,,,,,,,,,,,,5,,,,,,Pégase cuirassé,,Gepanzerter Pegasus,,Pegaso Corazzato,,,,Pégaso de Armadura,,,,Pegaso acorazado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashen Powder,,Classic Sixth Edition,,6E,,15384,,Sorcery,,,,,,,,{2}{B}{B},,4,,Geofrey Darrow,,"#_""What you call decay, I call ripening. You'll gain no sustenance from this harvest.""£—Kaervek_#",,B,,,,112,,R,,4.125,,,,,,Put target creature card from an opponent's graveyard onto the battlefield under your control.,,,,,,,,,,,,,,,,112,,,,,,Poudre de cendres,,Asche der Toten,,Polvere Cinerea,,,,Pó Cinerário,,,,Polvo ceniciento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashnod's Altar,,Classic Sixth Edition,,6E,,11158,,Artifact,,,,,,,,{3},,3,,Anson Maddocks,,"#_The Brothers' War scarred the land, but Ashnod left her mark in the bloodlines of those she tortured._#",,A,,{C},,274,,U,,4.119,,,,,,Sacrifice a creature: Add {C}{C} to your mana pool.,,,,,,,,,,,,,,,,274,,,,,,Autel d'Ashnod,,Ashnods Altar,,Altare di Ashnod,,,,Altar de Ashnod,,,,Altar de Ashnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Balduvian Barbarians,,Classic Sixth Edition,,6E,,16445,,Creature — Human Barbarian,,3,,2,,,,{1}{R}{R},,3,,Mark Poole,,"#_""Barbarian raids were a concern to those living in the northwest provinces, but the skyknights never dealt with the problem in a systematic way. They thought of the Balduvians as an ‘amusing model' of their forebears' culture.""£—Kjeldor: Ice Civilization_#",,R,,,,166,,C,,2.781,,,,,,,,,,,,,,,,,,,,,,166,,,,,,Barbares balduvians,,Balduvianische Barbaren,,Barbari di Balduvia,,,,Bárbaros Balduvianos,,,,Bárbaros balduvianos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Balduvian Horde,,Classic Sixth Edition,,6E,,15423,,Creature — Human Barbarian,,5,,5,,,,{2}{R}{R},,4,,Brian Snoddy,,,,R,,,,167,,R,,3.757,,"£10/4/2004 : You choose whether to discard or not on resolution. If not, then you sacrifice this card. You can choose to not discard even if you no longer control this card on resolution.",,,,"When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.",,,,,,,,,,,,,,,,167,,,,,,Horde Balduviane,,Balduvianische Horde,,Orda di Balduvia,,,,Horda Balduviana,,,,Horda balduviana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds of Paradise,,Classic Sixth Edition,,6E,,14719,,Creature — Bird,,0,,1,,,,{G},,1,,Mark Poole,,,,G,,{W}{U}{B}{R}{G},,217,,R,,4.36,,,,,,Flying£{T}: Add one mana of any color to your mana pool.,,,,,,,,,,,,,,,,217,,,,,,Oiseaux de paradis,,Paradiesvögel,,Uccelli del Paradiso,,,,Aves do Paraíso,,,,Aves del paraíso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze,,Classic Sixth Edition,,6E,,14628,,Sorcery,,,,,,,,{X}{R},,1,,Gerry Grace,,#_Fire never dies alone._#,,R,,,,168,,U,,2.985,,,,,,Blaze deals X damage to target creature or player.,,,,,,,,,,,,,,,,168,,,,,,Brasier,,Heiße Glut,,Fiammata,,,,Labareda,,,,Llamarada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Blight,,Classic Sixth Edition,,6E,,15399,,Enchantment — Aura,,,,,,,,{B}{B},,2,,Ian Miller,,,,B,,,,113,,U,,3.463,,,,,,"Enchant land£When enchanted land becomes tapped, destroy it.",,,,,,,,,,,,,,,,113,,,,,,Flétrissement,,Fäulnis,,Influenza Maligna,,,,Malogro,,,,Tierra estéril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Blighted Shaman,,Classic Sixth Edition,,6E,,15385,,Creature — Human Cleric Shaman,,1,,1,,,,{1}{B},,2,,Ian Miller,,,,B,,,,114,,U,,2.783,,,,,,"{T}, Sacrifice a Swamp: Target creature gets +1/+1 until end of turn.£{T}, Sacrifice a creature: Target creature gets +2/+2 until end of turn.",,,,,,,,,,,,,,,,114,,,,,,Shamane pernicieux,,Totenblasser Schamane,,Sciamano Corrotto,,,,Xamã Maligno,,,,Chamán marchito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Pet,,Classic Sixth Edition,,6E,,15400,,Creature — Thrull,,1,,1,,,,{B},,1,,Brom,,"#_""You are wrong,"" Volrath said. ""I do not hate the living. They often prove quite useful to me."" And then he laughed._#",,B,,{B},,115,,C,,3.757,,"£10/1/2009 : Because combat damage resolves immediately after it is assigned, you cannot sacrifice Blood Pet in between assigning and dealing combat damage. The last chance you have to sacrifice it before combat damage is dealt is during the Declare Blockers step.",,,,Sacrifice Blood Pet: Add {B} to your mana pool.,,,,,,,,,,,,,,,,115,,,,,,Animalcule de sang,,Blutiges Schoßtier,,Cucciolo di Sangue,,,,Mascote de Sangue,,,,Mascota de sangre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Bog Imp,,Classic Sixth Edition,,6E,,16626,,Creature — Imp,,1,,1,,,,{1}{B},,2,,Christopher Rush,,#_Don't be fooled by their looks. Think of them as little knives with wings._#,,B,,,,116,,C,,2.741,,,,,,Flying #_(This creature can't be blocked except by creatures with flying or reach.)_#,,,,,,,,,,,,,,,,116,,,,,,Diablotin des marécages,,Torfbold,,Demonietto delle Paludi,,,,Diabrete do Pântano,,,,Diablillo del pantano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Bog Rats,,Classic Sixth Edition,,6E,,11180,,Creature — Rat,,1,,1,,,,{B},,1,,Ron Spencer,,"#_Their stench was vile and strong enough, but not nearly as powerful as their hunger._#",,B,,,,117,,C,,2.141,,,,,,Bog Rats can't be blocked by Walls.,,,,,,,,,,,,,,,,117,,,,,,Rats des marécages,,Moorratten,,Topi delle Paludi,,,,Ratos do Pântano,,,,Ratas de la ciénaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Bog Wraith,,Classic Sixth Edition,,6E,,14589,,Creature — Wraith,,3,,3,,,,{3}{B},,4,,Jeff A. Menges,,"#_It moved through the troops leaving no footprints, save on their souls._#",,B,,,,118,,U,,3.103,,,,,,Swampwalk #_(This creature can't be blocked as long as defending player controls a Swamp.)_#,,,,,,,,,,,,,,,,118,,,,,,Apparition des marécages,,Todlose Moorleiche,,Necrospettro delle Paludi,,,,Aparição do Pântano,,,,Aparición de la ciénaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Boil,,Classic Sixth Edition,,6E,,14630,,Instant,,,,,,,,{3}{R},,4,,Jason Alexander Behnke,,"#_""The fishers will throw out their nets and draw them back filled with dust.""£—Oracle en-Vec_#",,R,,,,169,,U,,4.356,,,,,,Destroy all Islands.,,,,,,,,,,,,,,,,169,,,,,,Bouillonnement,,Kochende See,,Ribollire,,,,Ferver,,,,Ebullición,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Boomerang,,Classic Sixth Edition,,6E,,14513,,Instant,,,,,,,,{U}{U},,2,,Richard Kane Ferguson,,#_A lie always returns; be careful how you catch it._#,,U,,,,58,,C,,4.167,,,,,,Return target permanent to its owner's hand.,,,,,,,,,,,,,,,,58,,,,,,Boomerang,,Bumerang,,Boomerang,,,,Bumerangue,,,,Bumerang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottle of Suleiman,,Classic Sixth Edition,,6E,,11183,,Artifact,,,,,,,,{4},,4,,DiTerlizzi,,,,A,,,,275,,R,,3.013,,£10/4/2004 : The coin is flipped on resolution and not on declaration of the ability.,,,,"{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you win the flip, create a 5/5 colorless Djinn artifact creature token with flying. If you lose the flip, Bottle of Suleiman deals 5 damage to you.",,,,,,,,,,,,,,,,275,,,,,,Bouteille de Salomon,,Suleimans Flasche,,Bottiglia di Solimano,,,,Garrafa de Suleiman,,,,Botella de Suleimán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,,Classic Sixth Edition,,6E,,16434,,Enchantment,,,,,,,,{2}{U}{U},,4,,Phil Foglio,,"#_""Once great literature—now great litter.""£—Jaya Ballard, task mage_#",,U,,,,59,,U,,3.897,,,,,,"{2}{U}{U}: Look at the top five cards of your library, put one of them into your hand, and exile the rest.",,,,,,,,,,,,,,,,59,,,,,,Feuilletage,,Durchstöbern,,Curiosare,,,,Folhear,,,,Hojear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushland,,Classic Sixth Edition,,6E,,14731,,Land,,,,,,,,,,0,,Tom Wänerstrand,,,,L,,{G}{W}{C},,320,,R,,4.403,,,,,,{T}: Add {C} to your mana pool.£{T}: Add {G} or {W} to your mana pool. Brushland deals 1 damage to you.,,,,,,,,,,,,,,,,320,,,,,,Broussaille,,Gestrüppland,,Boscaglia,,,,Macegal,,,,Matorrales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GW,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing,,Classic Sixth Edition,,6E,,16448,,Enchantment — Aura,,,,,,,,{R},,1,,Mark Poole,,,,R,,,,170,,U,,1.634,,,,,,Enchant creature£Enchanted creature has mountainwalk. #_(It can't be blocked as long as defending player controls a Mountain.)_#,,,,,,,,,,,,,,,,170,,,,,,Fouisseur,,Wege des Maulwurfs,,Scavagallerie,,,,Escavar,,,,Cavar túneles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Call of the Wild,,Classic Sixth Edition,,6E,,15433,,Enchantment,,,,,,,,{2}{G}{G},,4,,Brom,,#_Thinking of dinner made Squee realize that the forest was probably thinking the same thing._#,,G,,,,218,,R,,4.058,,,,,,"{2}{G}{G}: Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard.",,,,,,,,,,,,,,,,218,,,,,,Appel de la forêt,,Ruf der Wildnis,,Richiamo della Foresta,,,,Chamado da Selva,,,,Llamado de la naturaleza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle,,Classic Sixth Edition,,6E,,14478,,Enchantment,,,,,,,,{3}{W},,4,,Dameon Willich,,"#_""Hang out our banners on the outward walls; / The cry is still, ‘They come'; our castle's strength / Will laugh a siege to scorn.""£—William Shakespeare, Macbeth_#",,W,,,,6,,U,,3.012,,,,,,Untapped creatures you control get +0/+2.,,,,,,,,,,,,,,,,6,,,,,,Château fort,,Burg,,Castello,,,,Castelo,,,,Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Warriors,,Classic Sixth Edition,,6E,,16450,,Creature — Cat Warrior,,2,,2,,,,{1}{G}{G},,3,,Melissa A. Benson,,#_These stealthy felines have survived so many battles that some believe they must possess many lives._#,,G,,,,219,,C,,2.55,,,,,,Forestwalk #_(This creature can't be blocked as long as defending player controls a Forest.)_#,,,,,,,,,,,,,,,,219,,,,,,Guerriers chats,,Katzenkrieger,,Gatti Guerrieri,,,,Guerreiros Felinos,,,,Guerreros felinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
